2026-07-27 02:28:48.933 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarted:60 - Started ProjectWebAppApplication in 2.433 seconds (process running for 2.973)
2026-07-27 02:29:00.333 [tomcat-handler-0] INFO  c.project.service.StudentServiceImpl.getStudenci:108 - REQUEST -> GET /api/studenci?page=0&size=10&sort=
2026-07-27 02:29:03.189 [tomcat-handler-1] INFO  c.project.service.StudentServiceImpl.getStudenci:108 - REQUEST -> GET /api/studenci?page=0&size=10&sort=
2026-07-27 02:29:05.723 [tomcat-handler-3] INFO  c.project.service.StudentServiceImpl.getStudenci:108 - REQUEST -> GET /api/studenci?page=0&size=10&sort=
2026-07-27 02:42:33.982 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarting:54 - Starting ProjectWebAppApplication using Java 21.0.4 with PID 13900 (C:\Users\jziol\ZPO\workspace\project-web-app\bin\main started by kziolkowski in C:\Users\jziol\ZPO\workspace\project-web-app)
2026-07-27 02:42:33.982 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStartupProfileInfo:652 - No active profile set, falling back to 1 default profile: "default"
2026-07-27 02:42:34.318 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarted:60 - Started ProjectWebAppApplication in 0.367 seconds (process running for 828.359)
2026-07-27 02:42:46.106 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarting:54 - Starting ProjectWebAppApplication using Java 21.0.4 with PID 7196 (C:\Users\jziol\ZPO\workspace\project-web-app\bin\main started by kziolkowski in C:\Users\jziol\ZPO\workspace\project-web-app)
2026-07-27 02:42:46.107 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStartupProfileInfo:652 - No active profile set, falling back to 1 default profile: "default"
2026-07-27 02:42:47.971 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarted:60 - Started ProjectWebAppApplication in 2.511 seconds (process running for 3.055)
2026-07-27 02:42:53.843 [tomcat-handler-0] INFO  c.project.service.StudentServiceImpl.getStudenci:108 - REQUEST -> GET /api/studenti?page=0&size=10&sort=
2026-07-27 02:45:56.214 [tomcat-handler-5] INFO  c.project.service.ProjektServiceImpl.getProjekty:111 - REQUEST -> GET /api/projekty?page=0&size=10&sort=
2026-07-27 02:46:01.133 [tomcat-handler-7] INFO  c.project.service.StudentServiceImpl.getStudenci:108 - REQUEST -> GET /api/studenti?page=0&size=10&sort=
2026-07-27 02:46:06.343 [tomcat-handler-9] INFO  c.project.service.StudentServiceImpl.getStudenci:108 - REQUEST -> GET /api/studenti?page=0&size=10&sort=
2026-07-27 02:46:37.945 [tomcat-handler-13] INFO  c.project.service.StudentServiceImpl.setStudent:70 - REQUEST -> POST /api/studenti
2026-07-27 02:46:38.337 [tomcat-handler-14] INFO  c.project.service.StudentServiceImpl.getStudenci:108 - REQUEST -> GET /api/studenti?page=0&size=10&sort=
2026-07-27 02:46:47.388 [tomcat-handler-16] INFO  c.project.service.StudentServiceImpl.getStudent:40 - REQUEST -> GET /api/studenti/1
2026-07-27 02:46:55.836 [tomcat-handler-19] INFO  c.project.service.StudentServiceImpl.setStudent:56 - REQUEST -> PUT /api/studenti/1
2026-07-27 02:46:55.951 [tomcat-handler-20] INFO  c.project.service.StudentServiceImpl.getStudenci:108 - REQUEST -> GET /api/studenti?page=0&size=10&sort=
2026-07-27 02:47:29.477 [tomcat-handler-24] INFO  c.project.service.StudentServiceImpl.setStudent:70 - REQUEST -> POST /api/studenti
2026-07-27 02:47:30.342 [tomcat-handler-25] INFO  c.project.service.StudentServiceImpl.getStudenci:108 - REQUEST -> GET /api/studenti?page=0&size=10&sort=
2026-07-27 02:49:11.094 [tomcat-handler-31] INFO  c.project.service.StudentServiceImpl.setStudent:70 - REQUEST -> POST /api/studenti
2026-07-27 02:49:11.257 [tomcat-handler-32] INFO  c.project.service.StudentServiceImpl.getStudenci:108 - REQUEST -> GET /api/studenti?page=0&size=10&sort=
